city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_type,last_new_job,training_hours,target
0.624,Male,No relevent experience,no_enrollment,High School,,5,,never,21,0
0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,>4,12,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Public Sector,>4,26,0
0.624,Male,No relevent experience,Full time course,High School,,1,,never,30,1
0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,>20,,>4,46,0
0.92,,No relevent experience,no_enrollment,High School,,2,,never,91,0
0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,15,Pvt Ltd,never,334,0
0.926,Male,No relevent experience,no_enrollment,,,3,,never,47,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,,1,25,1
0.897,,No relevent experience,Full time course,Graduate,STEM,<1,,never,31,1
0.925,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,Pvt Ltd,>4,57,0
0.698,Male,Has relevent experience,Full time course,Graduate,STEM,6,Pvt Ltd,2,56,0
0.899,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,,3,10,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,13,,never,9,0
0.899,Female,Has relevent experience,Part time course,Graduate,STEM,5,Pvt Ltd,3,69,0
0.897,,Has relevent experience,Part time course,Masters,STEM,3,Pvt Ltd,1,66,0
0.624,,Has relevent experience,no_enrollment,Masters,STEM,9,Early Stage Startup,1,122,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,Other,5,Pvt Ltd,1,65,0
0.624,,No relevent experience,no_enrollment,Graduate,STEM,<1,Public Sector,1,190,1
0.926,,No relevent experience,no_enrollment,High School,,2,,,64,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,Pvt Ltd,2,42,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,,1,10,0
0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,Pvt Ltd,>4,61,0
0.738,Male,Has relevent experience,Full time course,Graduate,STEM,5,Pvt Ltd,1,13,0
0.924,,No relevent experience,Full time course,Graduate,STEM,3,,1,26,0
0.899,Male,No relevent experience,no_enrollment,Masters,STEM,14,Funded Startup,1,69,0
0.887,Male,Has relevent experience,,,,17,Pvt Ltd,1,45,1
0.91,Male,Has relevent experience,Full time course,Graduate,STEM,17,Pvt Ltd,4,61,0
0.92,Female,Has relevent experience,Part time course,Graduate,STEM,10,,2,37,0
0.893,Male,Has relevent experience,Full time course,Graduate,STEM,10,Public Sector,1,155,0
0.666,Male,Has relevent experience,no_enrollment,Masters,STEM,16,Pvt Ltd,>4,160,0
0.897,Male,No relevent experience,no_enrollment,Masters,STEM,12,Funded Startup,2,14,0
0.92,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,>20,,3,112,1
0.738,Male,Has relevent experience,no_enrollment,Graduate,Humanities,2,Pvt Ltd,1,12,0
0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,6,Pvt Ltd,1,92,1
0.939,,Has relevent experience,no_enrollment,High School,,6,,1,59,0
0.698,Male,No relevent experience,Full time course,High School,,3,Early Stage Startup,never,67,0
0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,1,23,0
